time,open,high,low,close
2025-12-29,4548.84,4549.09,4273.96,4332.7
2026-01-05,4353.22,4517.2,4345.29,4510.04
2026-01-12,4521.41,4642.9,4512.67,4595.4
2026-01-19,4633.93,4989.84,4629.29,4985.91
2026-01-26,5008.85,5597.91,4681.35,4882.54
2026-02-02,4781.13,5091.93,4402.72,4960.75
2026-02-09,4990.56,5118.92,4878.61,5042.83
2026-02-16,5035.13,5106.88,4841.9,5103.76
2026-02-23,5109.06,5280.78,5093.44,5279.95
2026-03-02,5351.8,5419.15,4996.22,5171.06
2026-03-09,5190.43,5238.6,5009.59,5021.27
2026-03-16,5010.84,5044.27,4477.38,4496.99
2026-03-23,4487.05,4602.42,4099.02,4495.29
2026-03-30,4486.25,4580.57,4420.07,4535.38
